CODE,BOROUGH,YEAR,AGE,% Healthy,% Unhealthy,Green cover,Blue cover,Open Space,Local Parks,District Parks,Metropolitan Parks,Regional Parks,Percentage with private outdoor space,Tree Cover,Income Deprivation,Employment Deprivation,Crime Deprivation
E09000013,Hammersmith and Fulham,2018,Reception,79.74,20.26,27.60,4.63,28.9,46.8,40.4,51.1,49.0,81,1.71,4.56,3.92,3.07
E09000014,Haringey,2018,Reception,76.08,23.92,43.55,0.79,69.2,40.7,36.6,72.1,66.6,84.1,1.97,1.84,1.92,0.70
E09000015,Harrow,2018,Reception,79.69,20.31,55.42,0.47,73.0,22.9,34.0,7.7,0.0,85.2,3.54,4.37,4.65,5.61
E09000016,Havering,2018,Reception,75.07,24.93,65.98,3.51,65.7,19.5,23.2,44.6,0.0,89.7,4.62,4.32,4.14,3.99
E09000017,Hillingdon,2018,Reception,77.60,22.40,54.60,3.26,27.0,29.3,47.7,43.0,0.0,87.7,3.14,3.25,3.24,2.93
E09000018,Hounslow,2018,Reception,74.47,25.53,47.31,3.15,28.7,42.0,42.3,86.3,18.4,81.4,2.22,3.11,3.28,2.65
E09000019,Islington,2018,Reception,77.64,22.36,34.88,0.27,93.7,58.2,9.6,52.0,44.9,70.7,2.12,2.28,2.05,1.34
E09000020,Kensington and Chelsea,2018,Reception,79.00,21.00,30.37,2.31,52.5,84.1,34.2,99.8,6.6,81.7,1.55,5.92,5.37,2.43
E09000021,Kingston upon Thames,2018,Reception,83.10,16.90,52.42,1.05,38.6,26.3,11.9,37.5,72.8,86.5,1.97,8.06,7.72,5.61
E09000022,Lambeth,2018,Reception,75.73,24.27,32.91,1.62,82.3,46.5,28.3,66.8,0.0,75.1,1.84,1.50,1.28,1.65
E09000023,Lewisham,2018,Reception,77.51,22.49,40.25,0.80,50.3,42.6,22.3,54.9,0.0,81.8,2.36,1.60,1.58,3.04
E09000024,Merton,2018,Reception,78.64,21.36,48.78,0.85,58.2,39.0,31.4,37.5,67.3,88,2.75,5.53,5.29,5.05
