CODE,BOROUGH,YEAR,AGE,% Healthy,% Unhealthy,Green cover,Blue cover,Open Space,Local Parks,District Parks,Metropolitan Parks,Regional Parks,Percentage with private outdoor space,Tree Cover,Income Deprivation,Employment Deprivation,Crime Deprivation
E09000005,Brent,2017,Year 6,54.36,45.64,39.94,1.03,29.5,40.4,28.9,46.7,0.0,81.8,3.54,1.20,1.75,1.91
E09000006,Bromley,2017,Year 6,69.86,30.14,68.36,0.38,41.6,31.0,39.0,68.9,0.0,85.4,7.47,3.70,3.33,3.50
E09000007,Camden,2017,Year 6,61.46,38.54,43.28,0.91,56.8,50.5,15.5,88.4,0.0,61,1.97,3.07,2.88,2.15
E09000008,Croydon,2017,Year 6,60.52,39.48,55.53,0.13,17.9,37.3,36.1,44.6,0.0,83.3,6.49,0.99,1.35,1.07
E09000009,Ealing,2017,Year 6,60.18,39.82,43.96,0.94,45.5,53.6,40.5,72.1,0.0,82.8,5.21,1.46,1.84,2.24
E09000010,Enfield,2017,Year 6,57.69,42.31,52.95,5.16,53.1,17.9,66.1,25.7,69.5,84.1,3.93,0.73,1.53,1.40
E09000011,Greenwich,2017,Year 6,58.29,41.71,43.22,6.78,82.6,31.3,48.0,60.5,0.0,80.1,2.36,2.08,2.29,2.38
E09000012,Hackney1,2017,Year 6,58.41,41.59,38.79,2.23,89.9,23.8,64.5,63.9,97.0,68.6,1.38,1.25,1.44,0.19
E09000013,Hammersmith and Fulham,2017,Year 6,62.33,37.67,27.60,4.63,28.9,46.8,40.4,51.1,49.0,81,1.71,4.53,4.04,5.88
E09000014,Haringey,2017,Year 6,61.40,38.60,43.55,0.79,69.2,40.7,36.6,72.1,66.6,84.1,1.97,1.67,1.80,0.75
E09000015,Harrow,2017,Year 6,62.46,37.54,55.42,0.47,73.0,22.9,34.0,7.7,0.0,85.2,3.54,4.48,4.63,9.20
E09000016,Havering,2017,Year 6,61.71,38.29,65.98,3.51,65.7,19.5,23.2,44.6,0.0,89.7,4.62,4.38,3.87,4.81
E09000017,Hillingdon,2017,Year 6,60.43,39.57,54.60,3.26,27.0,29.3,47.7,43.0,0.0,87.7,3.14,3.23,3.46,2.10
E09000018,Hounslow,2017,Year 6,60.55,39.45,47.31,3.15,28.7,42.0,42.3,86.3,18.4,81.4,2.22,3.18,3.37,2.80
E09000019,Islington,2017,Year 6,60.32,39.68,34.88,0.27,93.7,58.2,9.6,52.0,44.9,70.7,2.12,2.45,2.20,0.14
E09000020,Kensington and Chelsea,2017,Year 6,64.59,35.41,30.37,2.31,52.5,84.1,34.2,99.8,6.6,81.7,1.55,6.25,5.57,3.08
E09000021,Kingston upon Thames,2017,Year 6,71.15,28.85,52.42,1.05,38.6,26.3,11.9,37.5,72.8,86.5,1.97,8.81,8.54,8.50
E09000022,Lambeth,2017,Year 6,60.19,39.81,32.91,1.62,82.3,46.5,28.3,66.8,0.0,75.1,1.84,1.15,0.99,0.05
E09000023,Lewisham,2017,Year 6,60.70,39.30,40.25,0.80,50.3,42.6,22.3,54.9,0.0,81.8,2.36,1.51,1.62,0.93
E09000024,Merton,2017,Year 6,62.27,37.73,48.78,0.85,58.2,39.0,31.4,37.5,67.3,88,2.75,5.63,5.30,5.65
E09000025,Newham,2017,Year 6,54.04,45.96,30.64,9.46,35.2,39.4,45.0,38.9,47.0,82.1,3.18,0.68,0.94,0.09
E09000026,Redbridge,2017,Year 6,57.31,42.69,53.56,1.41,11.1,28.0,54.5,63.1,51.2,87.8,4.10,2.61,3.01,2.66
E09000027,Richmond upon Thames,2017,Year 6,75.82,24.18,61.99,5.24,59.2,29.2,39.3,64.0,69.7,87.9,3.14,9.28,8.27,10.08
E09000028,Southwark,2017,Year 6,58.28,41.72,37.67,4.23,61.3,24.0,65.1,2.6,0.0,66.3,3.03,1.35,1.17,0.37
E09000029,Sutton,2017,Year 6,65.02,34.98,49.69,1.25,33.9,36.0,17.6,65.1,0.0,87.7,4.32,6.04,5.39,8.26
E09000030,Tower Hamlets,2017,Year 6,56.00,44.00,25.38,11.75,84.5,60.3,46.3,41.8,59.8,60.3,0.84,0.78,1.26,0.23
E09000031,Waltham Forest,2017,Year 6,58.58,41.42,44.36,6.24,31.3,53.0,0.0,26.5,100.0,86,4.32,1.98,2.07,0.61
E09000032,Wandsworth,2017,Year 6,65.35,34.65,39.01,3.20,62.9,8.9,26.9,90.2,62.0,72.9,2.85,3.02,3.15,3.22
E09000033,Westminster,2017,Year 6,59.58,40.42,31.20,4.41,40.9,58.6,21.1,94.0,0.0,63,1.65,3.28,3.19,2.85
E09000002,Barking and Dagenham,2018,Year 6,53.84,46.16,39.20,6.10,56.2,30.0,46.4,62.6,0.0,84.5,0.88,2.48,3.11,1.54
E09000003,Barnet,2018,Year 6,63.67,36.33,57.99,0.69,33.4,34.3,42.3,23.4,0.0,80,7.08,2.18,2.43,4.69
E09000004,Bexley,2018,Year 6,61.33,38.67,42.92,6.81,49.7,35.6,15.9,81.7,0.0,88.5,2.16,4.61,4.18,4.80
E09000005,Brent,2018,Year 6,56.43,43.57,39.94,1.03,29.5,40.4,28.9,46.7,0.0,81.8,3.54,1.31,1.79,1.90
E09000006,Bromley,2018,Year 6,67.33,32.67,68.36,0.38,41.6,31.0,39.0,68.9,0.0,85.4,7.47,3.98,3.50,3.38
E09000007,Camden,2018,Year 6,62.97,37.03,43.28,0.91,56.8,50.5,15.5,88.4,0.0,61,1.97,3.06,2.81,2.01
E09000008,Croydon,2018,Year 6,59.72,40.28,55.53,0.13,17.9,37.3,36.1,44.6,0.0,83.3,6.49,1.26,1.36,3.41
E09000009,Ealing,2018,Year 6,59.48,40.52,43.96,0.94,45.5,53.6,40.5,72.1,0.0,82.8,5.21,1.65,1.83,2.76
